Ticker,Date,NAV,Return,Outlier,Cluster
DSU,2020-03-09,6.132534503936768,-0.0672898292920519,True,True
DSU,2020-03-11,5.9850592613220215,-0.0450983265228118,True,True
DSU,2020-03-12,5.35214376449585,-0.1057492447762946,True,True
DSU,2020-03-13,5.662527084350586,0.0579923360642338,True,True
DSU,2020-03-16,5.080169200897217,-0.1028441674147254,True,True
DSU,2020-03-18,3.8411009311676025,-0.2521112836658538,True,True
DSU,2020-03-19,4.243799209594727,0.1048392858306677,True,True
DSU,2020-03-23,4.06413459777832,-0.061516210744914,True,True
DSU,2020-03-24,4.330532550811768,0.065548506483785,True,True
DSU,2020-03-25,4.832354068756104,0.1158798628243236,True,True
DSU,2020-03-26,5.111142635345459,0.0576920818761772,True,True
DSU,2020-03-31,5.235049247741699,0.0406400261461104,True,True
DSU,2020-04-06,5.3465681076049805,0.0410135090030774,True,True
DSU,2020-04-07,5.56340217590332,0.0405557478992766,True,True
DSU,2020-04-09,5.897951126098633,0.0359086061426718,True,True
DSU,2020-04-13,5.69350528717041,-0.0346638747180428,True,True
DSU,2020-04-14,5.9001665115356445,0.036297713612547,True,True
DSU,2020-04-15,5.725346565246582,-0.0296296631539576,True,True
DSU,2025-04-08,9.32751178741455,0.0514786282987429,True,True
