Ticker,Date,NAV,Return,Outlier,Cluster
FRA,2020-03-12,6.466482639312744,-0.0817225905352779,True,True
FRA,2020-03-13,6.715267181396484,0.0384729312611564,True,True
FRA,2020-03-16,6.222690105438232,-0.0733518209555166,True,True
FRA,2020-03-18,4.807307720184326,-0.2358771516418137,True,True
FRA,2020-03-19,5.013067722320557,0.0428015043165035,True,True
FRA,2020-03-20,5.356002807617188,0.0684082291108338,True,True
FRA,2020-03-23,4.844719409942627,-0.0954598823113805,True,True
FRA,2020-03-24,5.075422286987305,0.0476194506891802,True,True
FRA,2020-03-25,5.786229610443115,0.1400489029805902,True,True
FRA,2020-03-26,5.967048168182373,0.0312498068540025,True,True
FRA,2020-04-06,6.366098403930664,0.0313134954712952,True,True
FRA,2020-04-07,6.584328651428223,0.0342800619234562,True,True
FRA,2020-04-09,7.020790576934815,0.0464685538071134,True,True
FRA,2020-04-13,6.740208148956299,-0.0399645061199096,True,True
FRA,2025-04-09,11.787992477416992,0.0474547461991585,True,True
